WAFERID,LOTID,WAFERNO,LOTTYPE,EVENTTIME,MATERIALID,SLOTNO,NETDIE,PRODCTGROUP,CATEGORY,EQPNAME,COMMENT,BINTOTAL,BIN00,BIN01,BIN02,BIN03,BIN04,BIN05,BIN06,BIN07,BIN08,BIN09,BIN10,BIN11,BIN12,BIN13,BIN14,BIN15,BIN16,BIN17,BIN18,BIN19,BIN20,BIN21,BIN22,BIN23,BIN24,BIN25,BIN26,BIN27,BIN28,BIN29,BIN30
NBGAO073M,NBGAO0730,B1IZDX,B,2022-02-01 00:56:25,SWG42BGA0F02,13,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9973,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073N,NBGAO0730,B1IZDY,B,2022-02-01 00:56:25,SWG42BGA0F02,14,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9978,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073O,NBGAO0730,B1IZDZ,B,2022-02-01 00:56:25,SWG42BGA0F02,11,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9940,4,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0832,NBGAR0830,A1D3T3,B,2022-02-01 01:48:50,SX806AZYRF01,20,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8188,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0833,NBGAR0830,A1D3T4,B,2022-02-01 01:48:50,SX806AZYRF01,19,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8186,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0834,NBGAR0830,A1D3T5,B,2022-02-01 01:48:50,SX806AZYRF01,18,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8136,21,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0836,NBGAR0830,A1D3T7,B,2022-02-01 01:48:50,SX806AZYRF01,17,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8194,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0837,NBGAR0830,A1D3T8,B,2022-02-01 01:48:50,SX806AZYRF01,16,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8192,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0838,NBGAR0830,A1D3T9,B,2022-02-01 01:48:50,SX806AZYRF01,15,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8173,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0839,NBGAR0830,A1D3TA,B,2022-02-01 01:48:50,SX806AZYRF01,5,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8188,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083A,NBGAR0830,A1D3TB,B,2022-02-01 01:48:50,SX806AZYRF01,14,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8185,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083B,NBGAR0830,A1D3TC,B,2022-02-01 01:48:50,SX806AZYRF01,4,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8135,16,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083C,NBGAR0830,A1D3TD,B,2022-02-01 01:48:50,SX806AZYRF01,13,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8193,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083E,NBGAR0830,A1D3TF,B,2022-02-01 01:48:50,SX806AZYRF01,12,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8189,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083F,NBGAR0830,A1D3TG,B,2022-02-01 01:48:50,SX806AZYRF01,3,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8144,1,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083G,NBGAR0830,A1D3TH,B,2022-02-01 01:48:50,SX806AZYRF01,11,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8176,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083H,NBGAR0830,A1D3TI,B,2022-02-01 01:48:50,SX806AZYRF01,10,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8184,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083I,NBGAR0830,A1D3TJ,B,2022-02-01 01:48:50,SX806AZYRF01,2,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8188,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083J,NBGAR0830,A1D3TK,B,2022-02-01 01:48:50,SX806AZYRF01,9,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8198,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083K,NBGAR0830,A1D3TL,B,2022-02-01 01:48:50,SX806AZYRF01,1,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8197,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083M,NBGAR0830,A1D3TN,B,2022-02-01 01:48:50,SX806AZYRF01,8,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8189,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083N,NBGAR0830,A1D3TO,B,2022-02-01 01:48:50,SX806AZYRF01,7,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8194,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083O,NBGAR0830,A1D3TP,B,2022-02-01 01:48:50,SX806AZYRF01,6,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8148,5,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B91,NBGAH0B90,B1IUX0,B,2022-02-01 02:20:34,SX897BH30F02,8,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4265,16,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B92,NBGAH0B90,B1IUX1,B,2022-02-01 02:20:34,SX897BH30F02,16,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4349,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B93,NBGAH0B90,B1IUX2,B,2022-02-01 02:20:34,SX897BH30F02,9,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4332,2,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B94,NBGAH0B90,B1IUX3,B,2022-02-01 02:20:34,SX897BH30F02,18,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4297,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B95,NBGAH0B90,B1IUX4,B,2022-02-01 02:20:34,SX897BH30F02,11,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4341,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B96,NBGAH0B90,B1IUX5,B,2022-02-01 02:20:34,SX897BH30F02,13,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4341,2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B97,NBGAH0B90,B1IUX6,B,2022-02-01 02:20:34,SX897BH30F02,14,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4343,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B98,NBGAH0B90,B1IUX7,B,2022-02-01 02:20:34,SX897BH30F02,10,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4341,2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B99,NBGAH0B90,B1IUX8,B,2022-02-01 02:20:34,SX897BH30F02,15,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4356,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B9A,NBGAH0B90,B1IUX9,B,2022-02-01 02:20:34,SX897BH30F02,5,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4354,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
